dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,102.326139,167.988337,83.431141,58.378413,-78.648744,0.000000,0.000258
0.020000,103.477978,167.988649,84.582979,56.805438,-78.648744,-0.000000,0.000284
0.020000,104.598356,167.988982,85.703358,55.232463,-78.648744,-0.000000,0.000310
0.020000,105.687276,167.989334,86.792278,53.659488,-78.648744,0.000000,0.000336
0.020000,106.744736,167.989704,87.849738,52.086514,-78.648744,-0.000000,0.000362
0.020000,107.770736,167.990088,88.875738,50.513539,-78.648744,0.000000,0.000387
0.020000,108.765277,167.990486,89.870279,48.940564,-78.648744,-0.000000,0.000413
0.020000,109.728359,167.990895,90.833361,47.367589,-78.648744,0.000000,0.000437
0.020000,110.659981,167.991314,91.764983,45.794614,-78.648744,-0.000000,0.000462
0.020000,111.560143,167.991740,92.665145,44.221639,-78.648744,0.000000,0.000486
0.020000,112.428846,167.992172,93.533848,42.648664,-78.648744,-0.000000,0.000509
0.020000,113.266089,167.992608,94.371092,41.075689,-78.648744,0.000000,0.000532
0.020000,114.071873,167.993045,95.176876,39.502714,-78.648744,0.000000,0.000554
0.020000,114.846198,167.993483,95.951201,37.929740,-78.648744,-0.000000,0.000576
0.020000,115.589063,167.993918,96.694066,36.356765,-78.648744,0.000000,0.000597
0.020000,116.300468,167.994350,97.405471,34.783790,-78.648744,0.000000,0.000618
0.020000,116.980414,167.994777,98.085417,33.210815,-78.648744,0.000000,0.000637
0.020000,117.628900,167.995197,98.733904,31.637840,-78.648744,0.000000,0.000657
0.020000,118.245927,167.995607,99.350931,30.064865,-78.648744,-0.000000,0.000675
0.020000,118.831495,167.996008,99.936498,28.491890,-78.648744,0.000000,0.000692
0.020000,119.385603,167.996396,100.490606,26.918915,-78.648744,-0.000000,0.000709
0.020000,119.908251,167.996771,101.013255,25.345941,-78.648744,0.000000,0.000725
0.020000,120.399440,167.997131,101.504444,23.772966,-78.648744,-0.000000,0.000740
0.020000,120.859169,167.997474,101.964174,22.199991,-78.648744,0.000000,0.000755
0.020000,121.287439,167.997800,102.392444,20.627016,-78.648744,0.000000,0.000768
