dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,102.329237,155.988337,83.337122,59.180660,-78.649374,-0.079970,0.000258
0.020000,103.481390,155.988650,84.489275,57.607642,-78.650932,-0.077899,0.000284
0.020000,104.602082,155.988983,85.609966,56.034593,-78.652449,-0.075828,0.000310
0.020000,105.691312,155.989335,86.699197,54.461514,-78.653924,-0.073758,0.000336
0.020000,106.749080,155.989704,87.756965,52.888407,-78.655358,-0.071685,0.000362
0.020000,107.775385,155.990089,88.783270,51.315272,-78.656750,-0.069615,0.000387
0.020000,108.770228,155.990487,89.778112,49.742110,-78.658101,-0.067542,0.000413
0.020000,109.733606,155.990896,90.741491,48.168922,-78.659410,-0.065475,0.000437
0.020000,110.665520,155.991315,91.673405,46.595708,-78.660678,-0.063400,0.000462
0.020000,111.565969,155.991741,92.573854,45.022470,-78.661905,-0.061333,0.000486
0.020000,112.434953,155.992173,93.442839,43.449208,-78.663090,-0.059255,0.000509
0.020000,113.272472,155.992609,94.280357,41.875924,-78.664234,-0.057192,0.000532
0.020000,114.078524,155.993047,95.086409,40.302617,-78.665336,-0.055117,0.000554
0.020000,114.853110,155.993485,95.860995,38.729289,-78.666397,-0.053044,0.000576
0.020000,115.596228,155.993920,96.604114,37.155941,-78.667417,-0.050978,0.000597
0.020000,116.307880,155.994353,97.315765,35.582573,-78.668395,-0.048906,0.000618
0.020000,116.988063,155.994780,97.995949,34.009186,-78.669331,-0.046828,0.000637
0.020000,117.636779,155.995199,98.644665,32.435782,-78.670227,-0.044767,0.000657
0.020000,118.254026,155.995610,99.261912,30.862360,-78.671080,-0.042687,0.000675
0.020000,118.839804,155.996011,99.847690,29.288922,-78.671893,-0.040623,0.000692
0.020000,119.394113,155.996399,100.402000,27.715469,-78.672664,-0.038546,0.000709
0.020000,119.916953,155.996774,100.924840,26.142001,-78.673393,-0.036481,0.000725
0.020000,120.408323,155.997134,101.416210,24.568519,-78.674081,-0.034408,0.000740
0.020000,120.868224,155.997478,101.876111,22.995025,-78.674728,-0.032328,0.000755
0.020000,121.296654,155.997804,102.304541,21.421518,-78.675333,-0.030272,0.000768
0.020000,121.693614,155.998111,102.701501,19.848000,-78.675897,-0.028188,0.000780
0.020000,122.059103,155.998399,103.066991,18.274472,-78.676420,-0.026130,0.000792
0.020000,122.393122,155.998665,103.401009,16.700934,-78.676901,-0.024044,0.000802
0.020000,122.695670,155.998909,103.703557,15.127387,-78.677340,-0.021984,0.000812
0.020000,122.966746,155.999130,103.974634,13.553832,-78.677739,-0.019906,0.000821
0.020000,123.206351,155.999328,104.214239,11.980270,-78.678095,-0.017849,0.000828
0.020000,123.414485,155.999501,104.422373,10.406702,-78.678411,-0.015758,0.000835
0.020000,123.591148,155.999649,104.599036,8.833128,-78.678685,-0.013696,0.000841
0.020000,123.736339,155.999772,104.744227,7.259550,-78.678917,-0.011638,0.000846
0.020000,123.850058,155.999868,104.857946,5.685968,-78.679108,-0.009542,0.000849
0.020000,123.932306,155.999938,104.940194,4.112383,-78.679258,-0.007486,0.000852
0.020000,123.983082,155.999981,104.990970,2.538795,-78.679366,-0.005415,0.000854
0.020000,124.005428,156.000000,105.013316,1.117302,-71.074652,380.235691,0.000854
0.020000,124.010254,156.000004,105.018142,0.241302,-43.800033,1363.730985,0.000854
0.020000,124.010254,156.000004,105.018142,0.000000,-12.065085,1586.747363,0.000854
